License Number,Business (DBA-Does Business As) Name,Location Address,Location City,Location Zip Code,Inspection Number,Inspection Type,Inspection Disposition,Inspection Date,Number of Total Violations,Number of High Priority Violations,Number of Intermediate Violations,Number of Basic Violations,high_risk_violation_count,distinct_violation_categories,failed,Violation 01,Violation 02,Violation 03,Violation 04,Violation 05,Violation 06,Violation 07,Violation 08,Violation 09,Violation 10,Violation 11,Violation 12,Violation 13,Violation 14,Violation 15,Violation 16,Violation 17,Violation 18,Violation 19,Violation 20,Violation 21,Violation 22,Violation 23,Violation 24,Violation 25,Violation 26,Violation 27,Violation 28,Violation 29,Violation 30,Violation 31,Violation 32,Violation 33,Violation 34,Violation 35,Violation 36,Violation 37,Violation 38,Violation 39,Violation 40,Violation 41,Violation 42,Violation 43,Violation 44,Violation 45,Violation 46,Violation 47,Violation 48,Violation 49,Violation 50,Violation 51,Violation 52,Violation 53,Violation 54,Violation 55,Violation 56,Violation 57,Violation 58
6215784,LINKING HEIGHTS ,3001 28 ST N,ST. PETERSBURG,33713,3745676,Routine - Food,Inspection Completed - No Further Action,2026-07-07,12,3,6,3,8,8,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6216656,IHOP #36-212,30200 US HWY 19 N,CLEARWATER,33761,3728047,Routine - Food,Inspection Completed - No Further Action,2026-07-07,3,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6211664,CURRENTS,200 E TARPON AVE,TARPON SPRINGS,34689,3719706,Routine - Food,Inspection Completed - No Further Action,2026-07-07,5,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6218808,SHIPLEY DO-NUTS,4000 ULMERTON RD,CLEARWATER,33762,3732945,Routine - Food,Inspection Completed - No Further Action,2026-07-07,4,1,2,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
6216137,KOGI GRILL,3408 E LAKE RD S,PALM HARBOR,34685,3731766,Routine - Food,Inspection Completed - No Further Action,2026-07-07,3,0,0,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6218661,THE GREEKS OF TARPON SPRINGS,128 N PINELLAS AVE STE B,TARPON SPRINGS,34689,3725561,Routine - Food,Inspection Completed - No Further Action,2026-07-07,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6215792,KITCHEN AND BAR AT GREEN SPRINGS,156 4 AVE N,SAFETY HARBOR,34695,3700807,Complaint Full,Warning Issued,2026-07-07,5,2,1,2,5,5,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6217784,POPEYES LOUISIANA KITCHEN OPERATED BY TICE,600 34 ST N,ST. PETERSBURG,33713,3701349,Complaint Full,Warning Issued,2026-07-07,27,5,6,16,15,18,1,1,0,3,0,0,1,0,1,0,1,0,2,0,3,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,3,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
6216377,JIMMY JOHN'S #1127,1410 66 ST N,ST. PETERSBURG,33710,3719026,Routine - Food,Administrative complaint recommended,2026-07-07,12,2,2,8,7,11,1,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6218267,FISH BOWL KITCHEN,654 EAST LAKE ROAD,PALM HARBOR,34685,3701462,Complaint Full,Inspection Completed - No Further Action,2026-07-07,6,1,1,4,6,5,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
